STATES/ UNION TERRITORIES,LATITUDE,LONGITUDE
Andhra Pradesh,15.9129° N,79.7400° E
Arunachal Pradesh,28.2180° N,94.7278° E
Assam,26.2006° N,92.9376° E
Bihar,25.0961° N,85.3131° E
Chandigarh,30.7333° N,76.7794° E
Chhattisgarh,21.2787° N,81.8661° E
Goa,15.2993° N,74.1240° E
Haryana,29.0588° N,76.0856° E
Himachal Pradesh,31.1048° N,77.1734° E
Jammu and Kashmir,33.7782° N,76.5762° E
Jharkhand,23.6102° N,85.2799° E
Karnataka,15.3173° N,75.7139° E
Kerala,10.8505° N,76.2711° E
Madhya Pradesh,22.9734° N,78.6569° E
Maharashtra,19.7515° N,75.7139° E
Manipur,24.6637° N,93.9063° E
Meghalaya,25.4670° N,91.3662° E
Mizoram,23.1645° N,92.9376° E
Nagaland,26.1584° N,94.5624° E
Odisha,20.9517° N,85.0985° E
Punjab,31.1471° N,75.3412° E
Rajasthan,27.0238° N,74.2179° E
Sikkim,27.5330° N,88.5122° E
Tamil Nadu,11.1271° N,78.6569° E
Tripura,23.9408° N,91.9882° E
Telangana,18.1124° N,79.0193° E
Uttar Pradesh,26.8467° N,80.9462° E
Uttarakhand,30.0668° N,79.0193° E
West Bengal,22.9868° N,87.8550° E
Andaman and Nicobar,11.7401° N,92.6586° E
Dadra and Nagar Haveli,20.1809° N,73.0169° E
Delhi,28.7041° N,77.1025° E
Lakshadweep,13.7000 ° N,72.1833° E
Pondicherry,11.9416° N,79.8083° E
Daman and Diu,20.4283° N,72.8397° E
